Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,140.40749740600586,140.40749740600586,140.35999552408853,0,0,140.50999450683594
2024-08-20,140.41718292236328,140.40939615543257,140.33647067429203,0,0,139.75
2024-08-21,140.02265167236328,140.33372080950846,140.26417393453443,0,0,139.99000549316406
2024-08-22,141.78413772583008,140.61253399019273,140.45491748220104,0,0,140.22000122070312
2024-08-23,141.18488550186157,140.74031897604777,140.58887762799395,0,0,140.8699951171875
2024-08-26,140.68962931632996,140.75483742976215,140.5971468802013,0,0,140.49000549316406
2024-08-27,140.58106935024261,140.7452160572698,140.6291367798969,0,0,141.10000610351562
2024-08-28,141.23396652936935,140.86363209811944,140.76364084906885,0,0,141.05999755859375
2024-08-29,142.1251114308834,141.1413282047028,141.10446317872402,0,0,142.52999877929688
2024-08-30,142.15880815684795,141.3905333012588,141.41117545535096,1,0,142.9199981689453
2024-09-03,140.76284190267324,141.33353851800507,141.22611287047062,0,1,138.9600067138672
2024-09-04,138.5203435048461,140.84072879760856,140.66934426979788,0,0,138.16000366210938
2024-09-05,138.27758209966123,140.35721951386094,140.18000140235335,0,0,138.36000061035156
2024-09-06,138.2603525770828,139.92780242903112,139.70739129035255,0,0,137.1999969482422
2024-09-09,138.38204787438735,139.5747965571415,139.3628795761026,0,0,138.08999633789062
2024-09-10,137.37821637722664,139.0697186188767,138.89268030495535,0,0,138.02999877929688
2024-09-11,137.17754202650394,138.5895956522019,138.4921781109036,0,0,138.6999969482422
2024-09-12,136.75126996421022,138.0887996399151,137.94531176742868,0,0,136.38999938964844
2024-09-13,137.03813393306336,137.71114354542286,137.6036668242554,0,0,137.30999755859375
2024-09-16,138.38875452375214,137.65177772255063,137.5923919013194,0,0,138.30999755859375
2024-09-17,138.47281535315415,137.6249159057305,137.58684147383087,0,0,138.35000610351562
2024-09-18,138.99890462481926,137.71327826148956,137.7162003745585,1,0,139.00999450683594
2024-09-19,141.59265939319084,138.30813396746558,138.4533835253156,0,0,141.9499969482422
2024-09-20,139.92160187146055,138.51151835568206,138.62037420097113,0,0,140.08999633789062
2024-09-23,140.03486232946807,138.718505362279,138.7835450773538,0,0,139.7899932861328
2024-09-24,141.09868230914321,139.11417266799523,139.25240415755533,0,0,141.8699951171875
2024-09-25,140.92152972268684,139.43153758046387,139.47494496443775,0,0,139.44000244140625
2024-09-26,143.42451427006534,140.20406119821206,140.50594134868783,0,0,146.74000549316406
2024-09-27,147.16326282048038,141.6176746474706,142.13743967112123,0,0,148.05999755859375
2024-09-30,147.47850726854708,142.92087707187687,143.48416011337528,0,0,148.47999572753906
2024-10-01,146.40212899151422,143.8495133287815,144.31707764310906,0,0,146.55999755859375
2024-10-02,146.4194988295584,144.65914771740796,145.07181461703968,0,0,146.5399932861328
2024-10-03,145.21287222132827,145.12133524076603,145.4148383090048,0,0,144.5500030517578
2024-10-04,145.46706042401863,145.56211679651463,145.77217903904,0,0,144.97000122070312
2024-10-07,144.0264380943067,145.65059963770523,145.77077999128898,0,0,143.88999938964844
2024-10-08,144.51911004809756,145.80736195162373,145.91595560796202,0,0,144.61000061035156
2024-10-09,144.85173861398408,145.99283047559442,146.0831670686854,0,0,144.8000030517578
2024-10-10,143.55962546772813,145.884872436883,145.89718350120404,0,0,142.74000549316406
2024-10-11,143.9348096058123,145.84569302474648,145.85874982457594,0,0,143.82000732421875
2024-10-14,143.9692854486581,145.800935439406,145.820986579952,0,0,144.25
2024-10-15,145.01964495592694,145.9509689496211,145.97843417680417,0,0,144.5800018310547
