Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,317.375,317.375,318.46666463216144,0,0,318.54998779296875
2015-10-12,323.2624988555908,318.5291857619536,319.5710233652931,0,0,323.29998779296875
2015-10-19,317.55156898498535,318.42389597560907,318.9241887992918,0,0,314.1499938964844
2015-10-26,307.3710947036743,316.3317485815742,315.7414853943349,0,1,296.25
2015-11-02,294.002733707428,311.8690571993632,310.42401151395217,0,0,285.04998779296875
2015-11-09,277.0683636665344,304.6311194267442,302.0616475479793,0,0,267.3500061035156
2015-11-16,272.9029333591461,297.47233375646186,294.6742530127049,0,0,269.70001220703125
2015-11-23,273.33431965112686,291.30795915363274,288.415950071772,0,0,268.25
2015-11-30,263.6249788105488,284.05239014613676,280.7228016378109,0,0,255.5500030517578
2015-12-07,251.424985781312,275.3687323688673,271.40232286299147,0,0,241.14999389648438
2015-12-14,251.2484306767583,267.8094574230392,264.75613412453947,0,0,260.20001220703125
2015-12-21,258.26484129205346,262.67490109220074,260.01462540039,0,0,258.1000061035156
2015-12-28,262.07460461743176,259.06467269230654,257.1780466622087,0,0,267.54998779296875
2016-01-04,253.798243814148,254.43817259131367,251.87790597469075,0,0,241.39999389648438
2016-01-11,232.26074152532965,246.32695478057212,242.6994365231762,0,0,218.25
2016-01-18,223.38159115449525,237.64614888444862,234.1905174903065,0,0,221.75
2016-01-25,218.46735731430817,229.2645122896319,225.61283047488286,0,0,212.25
2016-02-01,216.2493036571541,221.69808141374205,218.18031324161973,0,0,211.10000610351562
2016-02-08,196.59183541851235,211.45133599029697,206.7579675066646,0,0,178.0500030517578
2016-02-15,200.15841980733967,203.42081601777187,199.95368989384502,0,0,209.39999389648438
2016-02-22,203.61827097315836,197.34412600301164,194.16388456601277,0,0,200.10000610351562
2016-02-29,211.5372605819466,193.8776644923188,192.22728597333838,0,0,225.14999389648438
2016-03-07,224.03726248929524,193.6150783868904,193.1516869916366,0,0,231.1999969482422
2016-03-14,231.92650140571004,195.26697630429948,195.77745595557087,1,0,241.9499969482422
2016-03-21,237.72650255011922,198.18366914607338,199.1902239925373,0,0,238.3000030517578
2016-03-28,240.37615469407888,201.57980795190377,202.87818604119565,0,0,242.89999389648438
2016-04-04,233.15526332116053,203.44372515193692,203.65112643895634,0,0,219.25
2016-04-11,229.00263137447797,204.5427456279334,205.0467710121561,0,0,233.5500030517578
2016-04-18,232.1403809528945,206.3842494869346,206.78597999258335,0,0,230.10000610351562
2016-04-25,234.20768933203806,208.6565570108275,209.4121704446161,0,0,238.1999969482422
2016-05-02,218.46165754748876,207.80114465649854,206.74633879133654,0,1,194.5500030517578
2016-05-09,196.5710296864658,202.9771281638824,200.7398749759978,0,0,188.5500030517578
2016-05-16,185.50582648492602,196.78298265482528,193.82469823204252,0,0,177.9499969482422
