Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,96.25250053405762,96.25250053405762,96.34666697184245,0,0,96.25
2024-08-20,95.85218787193298,96.17402320670912,96.20421115854464,0,0,95.18000030517578
2024-08-21,96.01015675067902,96.13602672415175,96.17769674457602,0,0,96.33000183105469
2024-08-22,96.22570496797562,96.14515311349882,96.19081101406502,0,0,96.47000122070312
2024-08-23,97.63347640633583,96.42953484656911,96.55575952288223,0,0,98.63999938964844
2024-08-26,99.39410176873207,97.02494187934417,97.27623583645277,0,0,100.62999725341797
2024-08-27,100.20111282169819,97.70577312467464,97.95439381533399,0,0,100.31999969482422
2024-08-28,100.06309070065618,98.2744410918519,98.53612942301257,0,0,100.81999969482422
2024-08-29,100.47873182035983,98.85087089725229,99.10151337962918,0,0,101.05999755859375
2024-08-30,100.93749174941331,99.44078496339071,99.68337921383626,0,0,101.37999725341797
2024-09-03,99.94405882293358,99.75608595634064,99.90291296405566,0,0,99.30000305175781
2024-09-04,100.1564023133833,100.0646634350434,100.18914581436016,0,0,100.20999908447266
2024-09-05,100.04726491554175,100.30348737109793,100.32439203857611,0,0,98.73999786376953
2024-09-06,99.05519693187671,100.30714746988785,100.27267196349383,0,1,98.44000244140625
2024-09-09,98.59040888692834,100.20699673464203,100.16494967630138,0,0,98.91999816894531
2024-09-10,97.70645455790509,99.93372544515053,99.76342412829023,0,0,96.18000030517578
2024-09-11,96.06645421458234,99.36073042087835,99.10565918179306,0,0,95.9000015258789
2024-09-12,96.0183325516009,98.83761205657764,98.6053008258772,0,0,96.43000030517578
2024-09-13,97.11916688615202,98.58574207304355,98.40842174394854,0,0,97.37999725341797
2024-09-16,97.78177191582381,98.48830103116286,98.31347201712543,0,0,97.29000091552734
2024-09-17,97.79744876308769,98.40077703588649,98.25141565524468,0,0,97.69000244140625
2024-09-18,97.9252882643716,98.34445488057635,98.21416173077709,0,0,97.70999908447266
2024-09-19,99.05858257632337,98.51311896523282,98.4957305233853,0,0,100.36000061035156
2024-09-20,98.95366777589362,98.63710433890904,98.60162019583753,0,0,98.80000305175781
2024-09-23,98.02058345879337,98.55906325553372,98.47652133833085,0,0,97.44000244140625
2024-09-24,97.8665417770804,98.4559570143355,98.3377390351616,0,0,97.05999755859375
2024-09-25,96.20139785310928,98.03501489545268,97.80196132187834,0,0,94.72000122070312
2024-09-26,95.4100734974012,97.50657036399221,97.3086910697799,0,0,95.87000274658203
2024-09-27,97.30319950829596,97.41146529382489,97.29709044067091,0,0,97.7300033569336
2024-09-30,96.94611328306459,97.25791760734039,97.13741923929638,0,0,96.63999938964844
2024-10-01,96.94086846442353,97.12238208927448,97.06728724145101,0,0,97.68000030517578
2024-10-02,97.45262007281846,97.10460747096876,97.0378710184335,0,0,96.94999694824219
2024-10-03,96.29224684022698,96.86302190719064,96.79945816987092,0,0,96.66999816894531
2024-10-04,97.55112362992185,96.89912591256062,96.89832424841393,0,0,98.16999816894531
2024-10-07,98.50862408768552,97.1210186036218,97.1846222111273,1,0,98.94000244140625
2024-10-08,97.82418823513244,97.18419133663977,97.25695189543147,0,0,98.23999786376953
2024-10-09,97.34365654127228,97.14713465092895,97.14095981004611,0,1,96.37000274658203
2024-10-10,96.41495442458206,96.93395639127395,96.87886231039579,0,0,96.05999755859375
2024-10-11,96.67997443709876,96.80017504797858,96.77173419994622,0,0,96.97000122070312
2024-10-14,96.34873694198383,96.62000897549099,96.58015518198454,0,0,96.22000122070312
2024-10-15,95.7768689096821,96.35235832755778,96.23368471958555,0,0,94.68000030517578
