Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,280.5499954223633,280.5499954223633,280.3399963378906,0,0,281.9599914550781
2024-08-20,281.5115661621094,280.7385018296083,280.5902752934404,0,0,281.3699951171875
2024-08-21,282.0314064025879,281.0060679959689,281.06114780437514,1,0,284.55999755859375
2024-08-22,281.143515586853,281.0665119516276,280.75464333693594,0,1,275.5799865722656
2024-08-23,277.3401942253113,280.37252183486777,279.8235624517213,0,0,273.8999938964844
2024-08-26,270.2108225822449,278.3633379155277,277.475572821618,0,0,268.25
2024-08-27,268.39253985881805,276.24191241706444,275.4133535687345,0,0,268.92999267578125
2024-08-28,265.4181584715843,273.80188080199883,272.8278463882198,0,0,263.0899963378906
2024-08-29,266.6518873870373,271.91372601670497,271.0117741696287,0,0,265.6300048828125
2024-08-30,268.2187535613775,270.5836756784896,269.85986781130157,0,0,268.92999267578125
2024-09-03,262.54343735426664,268.33012711416626,267.21845515783735,0,0,256.2799987792969
2024-09-04,254.2659400627017,264.7587031557676,263.53133758543146,0,0,254.1300048828125
2024-09-05,252.56632718257606,261.3254653461968,260.11608359773203,0,0,250.85000610351562
2024-09-06,250.49816326703876,257.9524201271917,256.65569938272256,0,0,247.52000427246094
2024-09-09,250.25658514304087,255.00064751092555,253.95062892052692,0,0,252.80999755859375
2024-09-10,254.21048260829411,253.25140881738514,252.51468792915432,0,0,255.85000610351562
2024-09-11,259.1796159798978,252.7661645755116,252.61759533009996,0,0,264.7200012207031
2024-09-12,266.2321109826444,253.8041046662932,254.2403711764021,1,0,269.8999938964844
2024-09-13,267.7432489422499,255.09391382353488,255.6941169231486,0,0,268.7200012207031
2024-09-16,269.8897221095249,256.72414816186557,257.5636942357218,0,0,273.1300048828125
2024-09-17,274.8803417689487,259.2048721134273,260.20560178042797,0,0,274.7900085449219
2024-09-18,272.83587247150354,261.04655002401483,261.7838970772743,0,0,269.69000244140625
2024-09-19,280.410873234443,264.20244491983146,265.13350322457535,0,0,280.3500061035156
2024-09-20,276.71068902317984,266.29516681593805,266.94926566300194,0,0,273.760009765625
2024-09-23,275.32346317919246,267.89508456177947,268.4050517078907,0,0,274.0799865722656
2024-09-24,273.84361254052396,269.03560511549927,269.41056425132996,0,0,273.32000732421875
2024-09-25,270.8754824288296,269.4742801774042,269.79629496599864,0,0,271.79998779296875
2024-09-26,276.1907467516166,270.9153450379581,271.1296009021566,0,0,274.2300109863281
2024-09-27,273.83413241664084,271.7310152769717,271.89775694192576,0,0,274.1300048828125
2024-09-30,271.14037249842795,271.925435024775,271.9785130032248,0,0,271.0299987792969
2024-10-01,269.1319711763648,271.70489829907393,271.32067511334003,0,1,263.32000732421875
2024-10-02,266.3231762925281,270.9615706224598,270.6330989395959,0,0,267.010009765625
2024-10-03,266.4212784309931,270.3288816980758,270.01646660207234,0,0,265.7900085449219
2024-10-04,269.4962637195859,270.3789455675033,270.0814501211268,0,0,268.6499938964844
2024-10-07,264.4075071583066,269.43012002798827,268.9903914185238,0,0,262.8599853515625
2024-10-08,266.9935985150405,269.1073065816072,268.9586807732926,0,0,270.1499938964844
2024-10-09,273.5592897207771,270.117374000164,270.4987525194571,1,0,279.55999755859375
2024-10-10,277.56492021394115,271.7973439210737,272.5530718458369,0,0,280.6400146484375
2024-10-11,280.15090645706823,273.783730962083,274.7353365179268,0,0,282.3900146484375
2024-10-14,282.3623279996523,275.9598478175864,276.86000658090063,0,0,282.1400146484375
2024-10-15,277.1008916961106,276.8307188094121,277.0582244672656,0,0,269.4700012207031
