Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,342.4925003051758,342.4925003051758,342.4300028483073,0,0,342.3299865722656
2024-08-20,342.11718463897705,342.41892339097393,342.39014032784956,0,0,342.6000061035156
2024-08-21,342.6801552772522,342.46462989740286,342.4165357865233,0,0,342.3999938964844
2024-08-22,343.169145822525,342.6009025913997,342.7332723363981,1,0,346.4700012207031
2024-08-23,349.5111266374588,343.9640270425783,344.4832625918712,0,0,353.989990234375
2024-08-26,353.14300644397736,345.8735469502752,346.56902943269637,0,0,353.94000244140625
2024-08-27,353.6070115864277,347.63767389479324,348.3141306268293,0,0,353.8900146484375
2024-08-28,356.42068757116795,349.7284120890566,350.48820944642216,0,0,357.92999267578125
2024-08-29,358.3600267842412,351.929135020014,352.7775969200178,0,0,361.05999755859375
2024-08-30,360.5300287678838,354.26513777698557,355.17914395931484,0,0,361.80999755859375
2024-09-03,363.3026574719697,356.83135262648284,357.84603076100495,0,0,365.4800109863281
2024-09-04,366.45009105745703,359.66625057441473,360.6734983142152,0,0,366.6400146484375
2024-09-05,357.93003782304004,360.44227033615346,360.9562053840251,0,0,355.1199951171875
2024-09-06,356.67032496468164,360.8238901122067,360.9919620594368,0,0,353.489990234375
2024-09-09,356.07735761173535,360.9882736556592,361.1266964854921,0,0,357.6099853515625
2024-09-10,358.0599209475913,361.4666827634076,361.58095133966196,0,0,358.1000061035156
2024-09-11,355.31183322312427,361.2944346338475,361.40726801127,0,0,357.7799987792969
2024-09-12,358.7959236306051,361.771907175977,362.087220831503,0,0,362.1700134277344
2024-09-13,363.4720213016917,363.05597993040254,363.52518670997404,0,0,364.7200012207031
2024-09-16,366.8045179447581,364.7852654650469,365.36375421302716,0,0,366.8500061035156
2024-09-17,361.1597319146258,365.1430259198228,365.258004292504,0,0,356.2300109863281
2024-09-18,358.53079750638517,364.88248274890736,364.75903355565345,0,1,355.3900146484375
2024-09-19,357.25570560744063,364.34441785448774,364.15438271053307,0,0,357.260009765625
2024-09-20,356.0144246878756,363.5716073237027,363.3190300576452,0,0,356.1400146484375
2024-09-23,356.59220570636455,362.95252582338554,362.6099887925334,0,0,354.94000244140625
2024-09-24,353.42267069375845,361.73806528364526,361.3099023363405,0,0,353.1700134277344
2024-09-25,352.04476468342705,360.35520451870417,359.6876982620531,0,0,348.8599853515625
2024-09-26,346.1366473891155,357.9417611418987,357.02037228479236,0,0,344.989990234375
2024-09-27,347.89665393178205,356.13189000439394,355.31679734136964,0,0,347.70001220703125
2024-09-30,347.2295741048681,354.38591570181865,353.5573490310218,0,0,346.44000244140625
2024-10-01,347.86979098157224,352.9594777139378,352.27106893695276,0,0,348.0899963378906
2024-10-02,344.81801888861327,351.09681173984677,350.160517101472,0,0,340.7099914550781
2024-10-03,341.04739854254393,348.7154139836733,347.70897945240057,0,0,340.55999755859375
2024-10-04,341.19559883454957,346.6532807453093,345.7482868251152,0,0,341.70001220703125
2024-10-07,340.8387356965717,344.7811453705771,343.9491702061355,0,0,340.2699890136719
2024-10-08,342.20530325020235,343.4210325057008,342.8111439462606,0,0,343.92999267578125
2024-10-09,344.7951517395421,342.75708194892616,342.40195683388765,0,0,346.7200012207031
2024-10-10,348.0269494201861,342.83528836321733,342.7683361623146,0,0,350.5
2024-10-11,351.09132052919495,343.53496317739996,343.60247701052754,1,0,350.29998779296875
2024-10-14,350.2023631370595,344.0053160308535,344.1712116882446,0,0,351.45001220703125
2024-10-15,349.4227414745356,344.2930412345223,344.43509733425617,0,0,348.8399963378906
