Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,112.60750007629395,112.60750007629395,112.71666717529297,0,0,112.72000122070312
2024-08-20,112.71593832969666,112.62875832044806,112.6996768952055,0,0,112.37999725341797
2024-08-21,112.672971367836,112.63901650424899,112.70173686699397,0,0,112.7300033569336
2024-08-22,112.19804674386978,112.55485626880618,112.57944433872763,0,0,112.12000274658203
2024-08-23,112.42089918255806,112.52448215472583,112.53802425429829,0,0,112.36000061035156
2024-08-26,112.7588867098093,112.56422774374003,112.5929109798358,0,0,113.01000213623047
2024-08-27,112.43694157153368,112.53631764411801,112.51887492901169,0,1,111.9000015258789
2024-08-28,112.6897208429873,112.56148374454376,112.54960651247583,0,0,112.69999694824219
2024-08-29,112.54642211087048,112.55573501007002,112.55632669908144,1,0,112.98999786376953
2024-08-30,113.35696058813483,112.70972032849866,112.75616677364704,0,0,113.94999694824219
2024-09-03,114.84535827906802,113.13698091820325,113.27467470287814,0,0,115.79000091552734
2024-09-04,116.44848146708682,113.82636658798017,114.06143649940205,0,0,117.05999755859375
2024-09-05,117.01524493761826,114.54152156901219,114.7574406280167,0,0,116.8499984741211
2024-09-06,116.73699950013543,115.1114102929844,115.29138711206565,0,0,116.5999984741211
2024-09-09,116.67818760292721,115.59436538401921,115.76630240697645,0,0,117.16000366210938
2024-09-10,117.29690587231016,116.13198798028458,116.27135249820343,0,0,116.93000030517578
2024-09-11,116.13627850719786,116.36739921000755,116.45776329044621,0,0,116.19999694824219
2024-09-12,116.33016332911575,116.60119440202476,116.65022216804557,0,0,115.97000122070312
2024-09-13,116.58726875447792,116.84543189366313,116.92604535978968,0,0,117.30999755859375
2024-09-16,117.65914289617103,117.25806562088064,117.35382616098043,0,0,117.69999694824219
2024-09-17,117.07041261708628,117.49261412388718,117.54138320558278,0,0,116.7300033569336
2024-09-18,116.35301803606694,117.54437473665817,117.53370596328024,0,1,115.87999725341797
2024-09-19,115.12676643389409,117.33530434883771,117.26987522267522,0,0,115.13999938964844
2024-09-20,115.98294061188386,117.30544083205193,117.2694566150028,0,0,116.37000274658203
2024-09-23,116.85584589722001,117.4373963433422,117.44359094407625,1,0,117.30999755859375
2024-09-24,116.65698336006325,117.50189131613772,117.47674090295708,0,1,115.9800033569336
2024-09-25,116.18255662143787,117.45298584836259,117.41188934259256,0,0,116.20999908447266
2024-09-26,115.59658884614984,117.28269705066523,117.21148580990588,0,0,115.16999816894531
2024-09-27,115.64454638764401,117.13053211222919,117.0761494249994,0,0,115.97000122070312
2024-09-30,115.47789543770324,116.95314072919092,116.87157387845889,0,0,115.30000305175781
2024-10-01,115.71051201175933,116.83269816115903,116.78728641682781,0,0,116.22000122070312
2024-10-02,115.96025387918594,116.76657515670632,116.77179964553113,1,0,116.68000030517578
2024-10-03,116.24919065075935,116.75658369560892,116.73109618623987,0,1,115.76000213623047
2024-10-04,114.6473148687464,116.42576558298316,116.32158290695902,0,0,114.05000305175781
2024-10-07,112.37339301963107,115.68158830827747,115.39299989663354,0,0,110.2300033569336
2024-10-08,111.27026744742648,114.80506986699612,114.42224520510011,0,0,110.66999816894531
2024-10-09,111.1285064122564,114.00345615719509,113.65693710463384,0,0,111.31999969482422
2024-10-10,112.22487699496182,113.51351366219819,113.27358076224552,0,0,113.12000274658203
2024-10-11,113.45612823473843,113.32671291652402,113.19977832777926,0,0,114.16999816894531
2024-10-14,114.35993867867904,113.34382675287753,113.3248346742047,0,0,115.08999633789062
2024-10-15,116.38184407231071,113.75999017387886,113.86080778016682,1,0,117.12000274658203
