Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,241.40500259399414,241.40500259399414,241.54000345865884,0,0,242.2100067138672
2024-08-20,242.55406141281128,241.63026417974643,241.7589142859612,0,0,242.57000732421875
2024-08-21,244.17922234535217,242.14681741314143,242.44204419489742,0,0,246.5500030517578
2024-08-22,245.97546887397766,242.95214376555765,243.27035290593645,0,0,246.22999572753906
2024-08-23,246.41714626550674,243.74398726065604,244.07564922433335,0,0,247.22999572753906
2024-08-26,246.61826398968697,244.47419593259266,244.80771511483914,0,0,247.07000732421875
2024-08-27,247.5731939226389,245.29549283354993,245.66629358538165,0,0,248.64999389648438
2024-08-28,249.264443770051,246.33892087715785,246.72854766121898,0,0,249.61000061035156
2024-08-29,249.61001786962152,247.3112335457732,247.68225186941652,0,0,250.08999633789062
2024-08-30,251.1484423149377,248.4517033065093,248.91241348988962,0,0,253.17999267578125
2024-09-03,249.5623455280438,249.12453296880167,249.3966389937972,0,0,247.92999267578125
2024-09-04,248.54961491795257,249.49543868407375,249.60397373293569,0,0,246.8800048828125
2024-09-05,246.37586117954925,249.3716776172742,249.3754300647794,0,0,246.6999969482422
2024-09-06,245.97724819474388,249.160530624895,249.05908696591638,0,1,245.0500030517578
2024-09-09,247.8145637526759,249.3119175318468,249.31516938627442,1,0,249.19000244140625
2024-09-10,249.26759195400518,249.70783876016276,249.79884156558396,0,0,250.6999969482422
2024-09-11,247.6812937263312,249.72288527599395,249.80914366210507,0,0,249.4199981689453
2024-09-12,249.06846392172883,249.98540389143932,250.1401799560818,0,0,250.69000244140625
2024-09-13,249.85235816249406,250.34768629649227,250.53734104591868,0,0,250.5399932861328
2024-09-16,251.92930093412178,251.05086227908782,251.3208070260471,0,0,253.1999969482422
2024-09-17,251.36839897932896,251.53590646046737,251.70594650467862,0,0,250.4600067138672
2024-09-18,249.80357328803484,251.6307599937376,251.65152300899285,0,0,248.52999877929688
2024-09-19,250.9980352707264,251.92273368583128,251.95323470569892,0,0,251.2100067138672
2024-09-20,250.29089633561955,252.01555692613758,252.07284322612136,0,0,251.44000244140625
2024-09-23,253.30589286424504,252.66281988130189,252.85943196677755,0,0,254.85000610351562
2024-09-24,254.21897409344163,253.38569943842714,253.5960214761324,0,0,254.25999450683594
2024-09-25,254.63167332601768,254.07553692945268,254.29072624348026,0,0,254.82000732421875
2024-09-26,255.20145868754497,254.76552484092153,255.0038232678692,0,0,255.75999450683594
2024-09-27,255.21292245137747,255.34474017861666,255.5146711575241,0,0,254.58999633789062
2024-09-30,254.52583187693386,255.68825786321565,255.85283741663423,0,0,255.3300018310547
2024-10-01,254.24854645070448,255.9039908547705,255.96530575435622,0,0,253.5500030517578
2024-10-02,252.48770897059148,255.71641749912342,255.79759243055483,0,0,253.97000122070312
2024-10-03,252.081664524816,255.44028698775335,255.37969897008787,0,1,250.77000427246094
2024-10-04,250.76801846541093,254.91002732545445,254.80492436814367,0,0,251.02000427246094
2024-10-07,249.46302292860673,254.16003373308578,253.95480562970155,0,0,249.0500030517578
2024-10-08,251.10950392017048,253.7982629246224,253.71180299241712,0,0,252.6199951171875
2024-10-09,254.02887552508992,254.03059382987868,254.11778260333756,1,0,255.67999267578125
2024-10-10,254.64175109448354,254.33489344175794,254.49647702210387,0,0,255.8000030517578
2024-10-11,255.17025031835993,254.68593136758676,254.78071035150322,0,0,254.0
2024-10-14,255.23387784854154,254.98670839423565,255.14680723996184,0,0,256.44000244140625
2024-10-15,258.35200376406885,255.8417745215371,256.08723513399445,0,0,258.25
