Date,haC,YASIN,YASIN1,Buy,Sell,Close
2021-02-01,580.4250030517578,580.4250030517578,567.6333414713541,0,0,547.9000244140625
2021-02-08,555.2078056335449,575.4814215869657,564.4378865296048,0,0,550.6500244140625
2021-02-15,538.2914028167725,567.8207823057486,559.8392689653167,0,0,554.4000244140625
2021-02-22,542.9957056045532,562.0274019762942,555.3545428535895,0,0,537.6500244140625
2021-03-01,537.1572308540344,555.8332719596361,550.3347745633995,0,0,530.0999755859375
2021-03-08,527.9879858493805,548.6523932617541,543.6992875129528,0,0,515.0999755859375
2021-03-15,494.60025131702423,535.8758881342319,529.8243092215084,0,0,467.95001220703125
2021-03-22,472.5283671617508,520.4225356126134,514.1432767824562,0,0,458.79998779296875
2021-03-29,462.05793434381485,504.9314015478544,499.347202880551,0,0,462.3500061035156
2021-04-05,479.6879168897867,494.96411081101064,491.95544043994573,0,0,492.1499938964844
2021-04-12,466.6970859244466,483.895444909228,482.0751881739401,0,0,476.3500061035156
2021-04-19,469.5844829417765,474.99944742071386,474.20673679160893,0,0,468.8500061035156
2021-04-26,485.78912009485066,470.6541713048124,471.8486387333636,1,0,497.70001220703125
2021-05-03,506.22580260876566,471.1603120820663,474.0916005870756,0,0,516.2999877929688
2021-05-10,500.2207208615728,470.7530208992721,473.53396254715324,0,0,493.1000061035156
2021-05-17,504.23693399340846,471.49797446128514,475.12081957363966,0,0,511.3500061035156
2021-05-24,533.3622194762575,478.17130810827916,483.60590334329675,0,0,545.75
2021-05-31,553.1747194762575,488.2182706859735,495.49436874379353,0,0,570.1500244140625
2021-06-07,560.7733732818451,498.80537844057517,506.0192705754522,0,0,560.0499877929688
2021-06-14,545.7522986709519,505.3918769150106,511.63095631840986,0,0,540.7999877929688
2021-06-21,539.8105136543236,510.2006102496737,515.6161336492086,0,0,535.0
2021-06-28,539.0334020450573,514.4316312074368,519.2694238782062,0,0,533.4500122070312
2021-07-05,570.3494971193304,524.4250144817287,531.6380315715509,0,0,599.6500244140625
2021-07-12,589.0716296631808,536.9941565844944,543.2133161419467,0,0,573.7000122070312
2021-07-19,555.692066738939,541.5748056207947,546.306480599818,0,0,551.9000244140625
2021-07-26,574.3882372726678,549.2984008028691,555.441171677719,0,0,600.1500244140625
2021-08-02,587.0659905845761,558.585831178858,564.0147433923971,0,0,582.75
2021-08-09,573.809549399954,564.1350613927101,568.9561916402314,0,0,581.7999877929688
2021-08-16,571.9907160146743,568.6085426473147,571.8038191603872,0,0,556.5
2021-08-23,564.8328404597297,571.0702834817546,573.5693508389943,0,0,560.0999755859375
2021-08-30,571.6586191739566,574.4898423844672,577.4233589123461,0,0,579.7000122070312
2021-09-06,579.641805772281,578.9694765465657,581.6045731195334,0,0,576.5
2021-09-13,572.9255839011552,581.4875704826112,583.6534420490951,0,0,574.5499877929688
2021-09-20,576.8143563579263,584.3462694630869,587.5504079891336,0,0,602.0499877929688
2021-09-27,599.4837410604329,591.1783564641385,594.1772268110832,0,0,595.5
2021-10-04,606.4231144267007,598.4099498205428,602.2182943993416,0,0,622.9500122070312
2021-10-11,643.2959268727742,611.8393267694449,617.0532256359201,0,0,657.5
2021-10-18,641.9151505549173,623.1937844820986,627.6012897722374,0,0,639.75
2021-10-25,660.5075783292165,636.5981677353664,643.3377456567705,0,0,705.25
2021-11-01,711.063826040398,658.0359089910686,666.6744739786837,0,0,732.6500244140625
2021-11-08,730.947981465849,680.4800882826834,689.2231486432588,0,0,741.0499877929688
2021-11-15,763.4911797588034,706.2245100885623,715.7001515482934,0,0,773.0499877929688
2021-11-22,803.4924694570384,736.2635954485615,746.6539026299819,0,0,807.0
2021-11-29,809.1087435023229,763.2590024897003,775.007405210108,0,0,840.9000244140625
2021-12-06,853.3090600141009,795.0543949901515,806.8660082711319,0,0,855.2000122070312
2021-12-13,838.6795391623239,819.4579894934958,828.9592456649397,0,0,826.0499877929688
2021-12-20,812.8882028849949,835.0867202893287,842.9071778893162,0,0,816.2000122070312
2021-12-27,798.2378522054369,845.1243544588815,849.2796010100518,0,0,774.2000122070312
2022-01-03,801.3454943247643,853.6969693166418,856.9115645186074,0,0,798.8499755859375
2022-01-10,813.8039994512005,862.8021907128734,865.2813703335138,0,0,808.7000122070312
2022-01-17,813.0035622256003,869.7687708733463,870.6595742537447,0,0,796.9000244140625
2022-01-24,778.5517898866038,868.2504606227523,867.6464546381443,0,1,780.4000244140625
2022-01-31,761.3524616394689,862.6572835493093,859.4894998699102,0,0,740.3499755859375
2022-02-07,728.938725860628,850.5286721968682,844.4998847527988,0,0,704.7999877929688
2022-02-14,719.3177954712075,837.1667440563971,831.0222124373578,0,0,719.5499877929688
2022-02-21,690.3542178649983,818.9920467859309,811.2349749274548,0,0,676.7000122070312
2022-02-28,681.3161679992716,800.5603865653686,792.3342924168134,0,0,673.0999755859375
2022-03-07,688.5534010772725,785.1747700339617,779.8471521878085,0,0,732.25
2022-03-14,722.6126456680308,777.8049148372942,774.5354355100351,0,0,744.2000122070312
2022-03-21,736.2078769416814,773.5366419238488,770.0080265587441,0,0,720.2999877929688
2022-03-28,754.7664235935214,773.0083305117392,772.4350094412401,0,0,787.5
2022-04-04,777.8195623264314,776.6780795680255,776.740700463854,1,0,776.8499755859375
2022-04-11,770.8861449685097,778.1758360744287,777.1242524666153,0,1,757.0499877929688
2022-04-18,747.4993240101337,774.5425178313775,773.5721604393352,0,0,758.2000122070312
2022-04-25,732.8824725977182,768.1297765939511,764.5369432373261,0,0,702.4000244140625
2022-05-02,739.4068620617986,763.4464168255686,762.7439770149946,0,0,781.0999755859375
2022-05-09,764.7081173864901,763.9999516255534,763.4394808640876,0,0,762.0
2022-05-16,762.9228205188066,763.8752148111231,762.7639819010976,0,0,755.0499877929688
2022-05-23,791.3801476709023,769.0948541017207,769.3409368668896,1,0,799.7000122070312
2022-05-30,790.6947582836933,773.3115989488413,772.7236867745539,0,1,779.75
2022-06-06,778.5708116827402,774.4002237097263,773.7707858071274,0,0,787.5999755859375
2022-06-13,747.9276120333867,769.1084292676296,766.1737339178287,0,0,726.0499877929688
2022-06-20,743.9934767320253,763.4551235873009,760.2691222686884,0,0,734.2000122070312
2022-06-27,742.6654891289521,758.0255128781049,754.867228950953,0,0,739.0999755859375
2022-07-04,747.9999332088853,754.1296093411455,751.8730237098707,0,0,755.75
2022-07-11,757.0859060117913,752.3465460631803,750.755985215831,0,0,763.3499755859375
2022-07-18,789.2585768614865,756.969942784479,757.6248819762706,1,0,817.0
