Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,93.84250068664551,93.84250068664551,93.76666768391927,0,0,93.4000015258789
2015-10-12,95.13218903541565,94.0953312970658,94.15286688594689,1,0,96.41000366210938
2015-10-19,96.229217171669,94.5325765845857,94.65431205667458,0,0,96.86000061035156
2015-10-26,98.48421823978424,95.35805085971167,95.53216676531,0,0,97.80000305175781
2015-11-02,97.02386572957039,95.79489997712271,95.84914086847489,0,0,95.33000183105469
2015-11-09,94.35724712908268,95.65105699604875,95.61939363183231,0,1,93.93000030517578
2015-11-16,95.39737380295992,95.72223425407464,95.76103946588668,1,0,96.26000213623047
2015-11-23,95.8258734382689,95.8630810886743,95.83331674447827,0,1,94.48999786376953
2015-11-30,95.82668665237725,95.9812012697018,95.93774182304567,0,0,94.77999877929688
2015-12-07,94.66146935615689,95.8504275304167,95.85206334138418,1,0,96.36000061035156
2015-12-14,97.41010803775862,96.26795507747738,96.40550427317656,0,0,98.79000091552734
2015-12-21,100.86005399026908,97.305395910888,97.67198763255965,0,0,103.05999755859375
2015-12-28,104.19568011560477,98.86395372999954,99.453611422382,0,0,105.38999938964844
2016-01-04,108.98188936064253,101.16155894423854,102.11650615498814,0,0,113.01000213623047
2016-01-11,113.50719481383567,104.05254496576588,104.95028010804776,0,0,110.33000183105469
2016-01-18,111.20578351455333,106.11939107598121,107.10958746109911,0,0,114.04000091552734
2016-01-25,111.31445319869817,107.92537204299576,108.74576736905152,0,0,111.97000122070312
2016-02-01,111.38472608436496,109.48843198145677,110.14324994013359,0,0,110.4000015258789
2016-02-08,107.12892534191087,109.98480027984857,110.26328661093419,0,0,104.58999633789062
2016-02-15,106.69883895841576,110.2895763904532,110.41312942763983,0,0,105.08000183105469
2016-02-22,102.96566999419201,109.77791804562196,109.73128538619574,0,1,103.22000122070312
2016-02-29,104.46127099029059,109.57398606487412,109.62096392039686,1,0,106.73999786376953
2016-03-07,106.51032289977786,109.75186835908774,109.77719256120734,0,0,105.81999969482422
2016-03-14,104.59016315696596,109.48899357559577,109.40920684974654,0,1,104.04000091552734
2016-03-21,106.86570712207734,109.66186642148344,109.8502155817679,1,0,110.44999694824219
