Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,27.375,27.375,27.049999872843426,0,0,26.5
2015-10-12,27.670312464237213,27.432893079881712,27.236237976240595,0,0,28.5
2015-10-19,28.872656673192978,27.719476320280194,27.57307010638679,0,0,28.100000381469727
2015-10-26,27.77382831275463,27.755714456072365,27.584195555991748,0,0,26.700000762939453
2015-11-02,27.215039275586605,27.67687311785625,27.490958030419346,0,0,26.049999237060547
2015-11-09,26.416894506663084,27.449881832644294,27.27986880663075,0,0,26.049999237060547
2015-11-16,27.358447110280395,27.4340380868945,27.383780117385886,0,0,28.200000762939453
2015-11-23,29.3182861385867,27.804149309333056,27.909005690632817,1,0,30.399999618530273
2015-11-30,31.362036186270416,28.529940635683655,28.758404896205967,0,0,31.399999618530273
2015-12-07,30.00691529060714,28.90075710874713,29.09373067694125,0,0,30.100000381469727
2015-12-14,30.070644954568706,29.235394777982037,29.392750805084646,0,0,29.450000762939453
2015-12-21,30.340010096493643,29.57739969981416,29.773228097881606,0,0,30.799999237060547
2015-12-28,31.029380346270045,30.007211497887635,30.240776062661922,0,0,31.5
2016-01-04,31.913128209576826,30.551287052944524,30.744533971948613,0,0,30.600000381469727
2016-01-11,29.133125698797812,30.47626136864158,30.491324309589363,0,0,27.0
2016-01-18,26.808125889532676,29.944755846953377,29.819773570941106,0,1,26.149999618530273
2016-01-25,27.057500311790136,29.51726010999355,29.40575929609184,0,0,27.149999618530273
2016-02-01,26.467812691657855,29.018668485827714,28.84480371361824,0,0,25.5
2016-02-08,26.34796871469871,28.551316764171897,28.273922710888353,0,0,23.600000381469727
2016-02-15,25.364609011642415,27.94395133041092,27.732300480656825,0,0,26.0
2016-02-22,24.932304386611918,27.32325077648789,27.038721050201787,0,0,23.600000381469727
2016-02-29,24.90521514630126,26.77238036987072,26.595777765294798,0,0,25.899999618530273
2016-03-07,25.30729508507156,26.3691212151754,26.166342101011356,0,0,24.200000762939453
2016-03-14,24.95520991140556,25.949567923821053,25.779660227837017,0,0,24.950000762939453
2016-03-21,24.760417551070212,25.54783347884967,25.389473490557013,0,0,24.649999618530273
2016-03-28,24.381771072879314,25.127040854644935,24.968024629163697,0,0,24.299999237060547
2016-04-04,24.903385810621025,24.867221791917085,24.768626217226107,0,0,25.350000381469727
2016-04-11,25.622005607966305,24.78875154187355,24.726433295639485,0,0,25.549999237060547
2016-04-18,25.5000646244902,24.7055632089014,24.659530992570335,0,0,25.299999237060547
2016-04-25,26.187532610268324,24.77697965236169,24.740783453757388,0,0,25.5
2016-05-02,25.865641150162084,24.78646707961464,24.818314448649247,1,0,26.799999237060547
2016-05-09,26.117195741974047,24.85350921839697,24.839840593318975,0,1,25.350000381469727
2016-05-16,25.038285323303306,24.71007212196458,24.641806888434743,0,0,24.299999237060547
2016-05-23,25.55508009012608,24.694065183697095,24.652456711972718,0,0,25.450000762939453
2016-05-30,27.64628972319796,25.098967346365797,25.15736818334379,1,0,27.600000381469727
2016-06-06,28.199707397361767,25.57213086641621,25.691247288292995,0,0,28.399999618530273
2016-06-13,28.37954146094132,26.030483028531037,26.150685009825352,0,0,27.950000762939453
2016-06-20,27.355396004652025,26.238029930413624,26.297714172263927,0,0,26.75
2016-06-27,28.27457253740978,26.604462617114226,26.73052856527126,0,0,28.850000381469727
2016-07-04,28.93082265661907,27.058164732569914,27.175386438690516,0,0,28.600000381469727
2016-07-11,30.909267824408293,27.84643482728204,28.0867296823215,0,0,31.700000762939453
2016-07-18,30.543696662543653,28.46760701025485,28.632120917632708,0,0,29.549999237060547
2016-07-25,28.94997329550904,28.698498847953896,28.754845057213878,0,0,28.0
2016-08-01,28.05934829550904,28.722195937873757,28.706938822966837,0,1,27.700000762939453
2016-08-08,28.6898369665889,28.861298855602566,28.80608701213825,0,0,27.549999237060547
