Date,haC,YASIN,YASIN1,Buy,Sell,Close
2021-03-15,259.1375045776367,259.1375045776367,260.20000712076825,0,0,268.70001220703125
2021-03-22,271.7828178405762,261.61649283419837,261.7421885056163,0,0,254.0
2021-03-29,259.21328020095825,261.33085785274375,261.9473314838998,0,0,272.6499938964844
2021-04-05,305.09882616996765,270.0670062042121,273.37191221246235,0,0,333.8500061035156
2021-04-12,308.83379209041595,278.46928400891164,281.2168457259396,0,0,301.04998779296875
2021-04-19,316.7309600710869,287.36521478622444,291.0242108123851,0,0,330.29998779296875
2021-04-26,367.81547793745995,305.1342280525614,312.1140491625618,0,0,410.1499938964844
2021-05-03,409.9592290818691,328.91979400165843,337.32403516646434,0,0,416.70001220703125
2021-05-10,425.9889939278364,352.8161156474851,361.113885164939,0,0,424.3999938964844
2021-05-17,426.85974867269397,373.7621243439062,381.9190099199062,0,0,436.95001220703125
2021-05-24,462.13925257883966,398.7863854574339,408.27101113821624,0,0,483.8999938964844
2021-05-31,519.0508722839877,431.57229007030963,444.66975360250336,0,0,571.8499755859375
2021-06-07,562.3289866028354,468.43122336099606,482.15981170993217,0,0,576.25
2021-06-14,552.795520652784,498.41720226044043,510.2357083467951,0,0,552.0499877929688
2021-06-21,549.2305793113774,523.423124880346,533.7498518340617,0,0,549.6500244140625
2021-06-28,546.0184116039309,544.0370464143087,552.4817525802964,0,0,543.25
2021-07-05,558.6185731725709,563.8251876583599,571.6296515952179,0,0,563.8499755859375
2021-07-12,567.1249070086487,582.035540862078,588.6369484781528,0,0,562.5999755859375
2021-07-19,604.3780643899445,604.4496202145932,612.8559966034786,0,0,629.5499877929688
2021-07-26,612.985903380275,624.9036939079731,631.2633086161186,0,0,593.2999877929688
2021-08-02,607.7132733454109,640.8630354277391,646.6401569085228,0,0,613.25
2021-08-09,666.1003710324467,665.309301850933,674.8543640550541,0,0,719.3499755859375
2021-08-16,710.7316271359623,694.4904619333454,704.2001244238406,0,0,699.9500122070312
2021-08-23,690.5790039672181,715.078671794319,724.3260803712291,0,0,715.4000244140625
2021-08-30,739.2977463378236,741.5493848683701,751.5340873655673,0,0,751.0
2021-09-06,725.0658516082597,760.8116509861502,767.8197614263956,0,0,703.5499877929688
