Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,21.729999542236328,21.729999542236328,21.729999542236328,0,0,21.639999389648438
2024-08-20,21.582655906677246,21.70111428375084,21.69503907081057,0,1,21.549999237060547
2024-08-21,21.6952343583107,21.697800234763637,21.694049191100923,0,0,21.690000534057617
2024-08-22,21.543085545301437,21.66515671519465,21.65702803163307,0,0,21.559999465942383
2024-08-23,21.728418335318565,21.672907822862786,21.674928641781413,1,0,21.81999969482422
2024-08-26,21.892480596899986,21.712093573215956,21.723243738815658,0,0,21.959999084472656
2024-08-27,21.908745106309652,21.7498989911344,21.761301161754687,0,0,21.920000076293945
2024-08-28,21.796779124066234,21.761218659814507,21.76319144371028,0,0,21.719999313354492
2024-08-29,21.75260846223682,21.762426516106657,21.76100910927118,0,1,21.75
2024-08-30,21.842085144948214,21.78091211055096,21.786087117277194,1,0,21.950000762939453
2024-09-03,21.926823746180162,21.81365034549062,21.831863325178798,0,0,22.100000381469727
2024-09-04,22.253411775338463,21.906266499859598,21.947044661768548,0,0,22.510000228881836
2024-09-05,22.458411937463097,22.027561034808475,22.076020270711467,0,0,22.510000228881836
2024-09-06,22.68288430708344,22.17757284075995,22.2402669544456,0,0,22.860000610351562
2024-09-09,22.89769183167664,22.350535193977176,22.429214248594793,0,0,23.200000762939453
2024-09-10,23.110595636411745,22.542814939234034,22.616213415726538,0,0,23.049999237060547
2024-09-11,22.982953813097993,22.68476625297454,22.751440883594817,0,0,23.09000015258789
2024-09-12,23.001946223985215,22.810640297433753,22.870397921713,0,0,23.079999923706055
2024-09-13,23.20784813821865,22.95861326417054,23.02400660605729,0,0,23.389999389648438
2024-09-16,23.34642365902937,23.11245726088,23.172456722324632,0,0,23.3799991607666
2024-09-17,23.344149367661657,23.243433703480623,23.296340651444943,0,0,23.389999389648438
2024-09-18,23.30410648219356,23.346486911717736,23.38287911188866,0,0,23.190000534057617
2024-09-19,23.177053336464212,23.40760801894323,23.418320295991684,0,0,22.899999618530273
2024-09-20,22.933615331016824,23.408830201848158,23.413584341645986,0,0,23.020000457763672
2024-09-23,22.96293512090118,23.41079922850018,23.415691811944598,0,0,23.020000457763672
2024-09-24,23.009905115286863,23.417002363272466,23.423951586299218,0,0,23.110000610351562
2024-09-25,23.115671463569182,23.438568427450463,23.43792959813494,0,1,23.0
2024-09-26,23.14486733464409,23.458726214652113,23.45728955410738,0,0,23.1299991607666
2024-09-27,23.21102722181881,23.484944156955933,23.487860083848346,1,0,23.260000228881836
2024-09-30,23.26051376111311,23.51327646128075,23.50841155596786,0,1,23.1299991607666
2024-10-01,22.973850835596533,23.477606572366284,23.45320206309354,0,0,22.780000686645508
2024-10-02,22.678225387369604,23.38396849935143,23.34290928699939,0,0,22.6299991607666
2024-10-03,22.468487674611318,23.256473765420456,23.19693824740574,0,0,22.270000457763672
2024-10-04,22.300931540438288,23.107932898273237,23.036506441080927,0,0,22.15999984741211
2024-10-07,22.115746541474635,22.93798379412373,22.85828249550995,0,0,21.989999771118164
2024-10-08,21.9724048592917,22.758027446958756,22.671988067703047,0,0,21.850000381469727
2024-10-09,21.740733693950965,22.55262360275495,22.45641484600015,0,0,21.530000686645508
2024-10-10,21.498648201879657,22.32349827673417,22.217443497783062,0,0,21.31999969482422
2024-10-11,21.450886207549175,22.11237573646193,22.014562487567552,0,0,21.459999084472656
2024-10-14,21.49240933798959,21.935393869356723,21.856328443455308,0,0,21.600000381469727
2024-10-15,21.714642638679393,21.82457970625944,21.765151655388713,0,0,21.760000228881836
