Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,260.0350036621094,260.0350036621094,260.1800028483073,0,0,259.1199951171875
2024-08-20,259.49594020843506,259.92932561812455,260.0943988384435,0,0,260.6000061035156
2024-08-21,265.79280948638916,261.070896089416,261.3613909636808,0,0,265.6300048828125
2024-08-22,264.6089828014374,261.84236538069507,262.0490299283038,0,0,263.45001220703125
2024-08-23,266.4413741827011,262.8760901984923,263.2303142298162,0,0,268.54998779296875
2024-08-26,271.11449658870697,264.6946843376013,265.1653603822306,0,0,271.6600036621094
2024-08-27,270.22096261382103,266.1084103923832,266.58145233050607,0,0,271.17999267578125
2024-08-28,262.7973494976759,265.88033786266794,265.86174624868283,0,1,258.8299865722656
2024-08-29,261.38086726516485,265.3827416857668,265.1231585851616,0,0,259.010009765625
2024-08-30,260.89887250587344,264.8326782893259,264.321158872073,0,0,259.4700012207031
2024-09-03,257.75286871753633,263.71632857176894,263.146097777017,0,0,258.0799865722656
2024-09-04,255.3470559446141,262.2496584425599,261.6547200759182,0,0,255.50999450683594
2024-09-05,255.3482134505175,260.95105850400165,260.284929251783,0,0,253.6999969482422
2024-09-06,257.9575420699548,260.31661479458165,259.49832065818066,0,0,253.83999633789062
2024-09-09,252.94127208401915,258.7753898347759,257.7298268891682,0,0,248.58999633789062
2024-09-10,248.6612742583966,256.5838274064518,255.36837238827064,0,0,247.17999267578125
2024-09-11,250.116254882043,254.950202527628,254.1416814630624,0,0,255.1999969482422
2024-09-12,256.36719755134254,254.75429706130694,254.40477028328746,0,0,260.1400146484375
2024-09-13,262.8721938510862,255.87684102960208,256.09254140768917,1,0,266.760009765625
2024-09-16,263.6989911889068,257.04516015656895,257.3718496083974,0,0,265.29998779296875
2024-09-17,266.8798109936233,258.71107825911196,259.1958046055881,0,0,268.4100036621094
2024-09-18,269.74365362761,260.7479479976258,261.32523288721455,0,0,270.20001220703125
2024-09-19,273.97526423751106,263.37317249971954,263.8533956171122,0,0,270.760009765625
2024-09-20,266.67981752067203,264.24877856504185,264.3102222464152,0,0,262.6099853515625
2024-09-23,262.84169038444156,264.2559115732587,263.982674635441,0,1,259.79998779296875
2024-09-24,266.5973001328841,264.98581563652846,264.6393803564988,0,0,263.54998779296875
2024-09-25,261.52739266592937,264.6209727354342,264.1131137034639,0,0,259.739990234375
2024-09-26,267.7505823574398,265.5058286417635,265.19906461283233,0,0,268.82000732421875
2024-09-27,276.0205790005062,267.89169878285753,268.12860306042967,1,0,280.010009765625
2024-09-30,275.34920469427936,269.8411321722841,269.9107406804909,0,0,271.3500061035156
2024-10-01,267.002957974919,269.89488042736974,269.7557259177222,0,1,266.45001220703125
2024-10-02,263.7689760501426,269.278989125877,268.8156813392378,0,0,260.5299987792969
2024-10-03,260.7494906572124,268.1171751837635,267.6946973458534,0,0,262.55999755859375
2024-10-04,269.45724483269555,268.777353827721,268.6638113382372,0,0,270.3800048828125
2024-10-07,269.10103701536383,269.2662815478604,269.37049782915125,1,0,272.4800109863281
2024-10-08,272.9273896166907,270.42303523686525,270.8404051188259,0,0,276.5899963378906
2024-10-09,274.91901135192444,271.80596898551437,272.1859597990169,0,0,274.1199951171875
2024-10-10,272.009189246824,272.4235851066024,272.780206107248,0,0,273.5799865722656
2024-10-11,275.20771580871474,273.56225892977847,274.12393890236376,0,0,278.25
2024-10-14,279.8029221591181,275.4314043948712,276.4179310176401,0,0,286.760009765625
2024-10-15,286.51105394927924,278.3537744984644,279.59569084162865,0,0,287.4800109863281
