Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,42018.4501953125,42018.4501953125,41807.93359375,0,0,41373.80078125
2015-10-12,41637.74011230469,41943.81575919323,41781.99733766574,0,0,41899.0
2015-10-19,42235.43035888672,41995.39936588308,41900.89648276203,0,0,42631.1015625
2015-10-26,41312.00509643555,41859.9501747819,41675.72325600293,0,0,39751.3984375
2015-11-02,39559.55563354492,41397.4405663657,41135.32927111008,0,0,38512.3515625
2015-11-09,38720.016342163086,40826.930975879484,40565.49337024495,0,0,38377.94921875
2015-11-16,38943.707149505615,40371.47568449431,40176.63425163782,0,0,39381.8984375
2015-11-23,39146.71612358093,40014.92821213871,39873.6977417068,0,0,39430.75
2015-11-30,39248.48184108734,39726.88305779196,39636.87257110129,0,0,39630.80078125
2015-12-07,39407.79219007492,39511.38749604017,39448.039404198826,0,0,39414.3984375
2015-12-14,38924.068214178085,39234.40283441094,39191.53357858424,0,0,39162.94921875
2015-12-21,39307.12736880779,39073.85996270094,39070.85559335989,0,0,39539.6015625
2015-12-28,40201.299402177334,39116.584551590364,39178.49443193129,1,0,40552.1484375
2016-01-04,39777.24735733867,39079.846511185926,39083.207690982366,0,0,38638.55078125
2016-01-11,38491.25343941152,38803.9479030184,38750.495790042914,0,1,37688.05078125
2016-01-18,36672.39722751826,38213.32758087531,38091.10392863016,0,0,36236.30078125
2016-01-25,36753.99976122007,37719.40422469275,37548.99554746891,0,0,35626.25
2016-02-01,35096.9116237741,36971.33448391476,36731.11132855668,0,0,34180.3515625
2016-02-08,33347.86004772689,35983.2636693979,35633.032266682225,0,0,31811.849609375
2016-02-15,33224.16006536735,35105.09534916674,34813.282179820206,0,0,33602.0
2016-02-22,33063.40803561336,34319.16732367201,34015.97789052318,0,0,32371.5
2016-02-29,33465.75809495512,33727.17717750616,33527.17237074681,0,0,34226.69921875
2016-03-07,34235.970741439494,33379.85112803324,33252.07485248417,0,0,34499.80078125
2016-03-14,34161.06189922706,33083.27174385196,33008.76766441766,0,0,34716.8984375
2016-03-21,34901.917912504156,32991.77092045609,32979.897149180164,0,0,35340.44921875
2016-03-28,36645.88620234583,33277.50650541283,33380.35986520001,1,0,37255.05078125
2016-04-04,36413.59312558698,33506.987868742945,33559.40324907268,0,0,35468.25
2016-04-11,36067.932060840365,33663.20999432674,33754.52102575121,0,0,36595.80078125
2016-04-18,36205.15389663112,33848.3254667485,33908.36695591696,0,0,35541.94921875
2016-04-25,34898.04533210462,33774.554267716485,33744.488192820405,0,1,33787.75
2016-05-02,34177.304648474186,33587.01462592515,33526.8655321048,0,0,33742.05078125
2016-05-09,33466.4942431824,33301.10622819547,33197.26509356676,0,0,32907.05078125
2016-05-16,32746.572368182402,32927.00591095979,32773.14020034887,0,0,32005.80078125
2016-05-23,32571.040675053413,32582.48351433879,32491.172615710268,0,0,33542.19921875
2016-05-30,33478.25874084702,32476.8512170749,32410.34291621764,0,0,33427.6484375
2016-06-06,32877.92661163445,32286.12696119497,32182.830917646796,0,0,32197.05078125
2016-06-13,31933.629980775073,31952.895674093154,31809.363249548413,0,0,31332.25
2016-06-20,31413.813684158613,31577.628550540838,31432.505502597734,0,0,31317.25
2016-06-27,32432.028302040242,31467.38497155877,31438.779890650607,0,0,33656.6484375
2016-07-04,34193.31321414962,31736.282503908493,31847.714429272084,1,0,35391.1015625
2016-07-11,34747.14580842022,32101.32375933596,32200.39171195805,0,0,34221.8515625
2016-07-18,34572.668485264796,32406.48342922022,32493.868846034413,0,0,34153.6015625
2016-07-25,34309.82508735896,32639.809154468778,32697.512917703614,0,0,33844.1484375
2016-08-01,35398.50446262479,33073.305483733675,33260.16138065097,0,0,37068.19921875
2016-08-08,36489.110663796666,33681.699618905055,33863.14765994918,0,0,36129.25
2016-08-15,36313.40516839057,34193.51599849924,34361.123614488686,0,0,36110.1015625
2016-08-22,36123.43866817966,34615.09597559164,34773.22839297072,0,0,36339.69921875
2016-08-29,37489.92087217577,35260.308112020575,35517.08841516509,0,0,38852.55078125
2016-09-05,39168.65597959764,36161.40992428619,36524.67613824516,0,0,40201.5
2016-09-12,40020.92693435254,37122.81159445702,37507.81811696674,0,0,40507.80078125
2016-09-19,42910.109219129394,38533.1736887867,39137.60445251871,0,0,45841.30078125
2016-09-26,47410.0086331919,40650.36883229817,41545.048724202126,0,0,50872.55078125
2016-10-03,51231.38725116626,43250.81592024904,44379.9751648158,0,0,53471.8984375
2016-10-10,52253.43678964564,45720.032492548744,46832.81852849652,0,0,52449.0
2016-10-17,50860.46173647391,47591.91409605406,48505.60217419365,0,0,50438.25
2016-10-24,49003.70096101039,48840.00956405805,49500.97962230157,0,0,47955.55078125
2016-10-31,49426.92897171613,49981.14000885927,50592.29194464567,0,0,50179.69921875
2016-11-07,50590.42359230338,51169.856549481745,51800.11499811847,0,0,52576.8984375
2016-11-14,50864.99634205013,52223.0515120233,52651.40550301093,0,0,49080.5
2016-11-21,48346.34497278288,52606.43243092858,52839.755600909855,0,0,47270.5
2016-11-28,48896.19580182113,53000.15557021931,53193.118940120505,0,0,48841.6015625
2016-12-05,50640.3970952465,53636.84181629981,53974.28157811715,0,0,53033.5
2016-12-12,52083.640259309,54427.783077777254,54779.162130799785,0,0,52154.69921875
2016-12-19,50404.164215217876,54741.07976992808,54901.860268183824,0,0,48996.5
2016-12-26,48924.380523811626,54672.298368381424,54717.612467343875,0,0,48905.6484375
2017-01-02,50534.32547763259,54873.640359256104,54982.05538249349,0,0,51579.19921875
2017-01-09,52457.68288041786,55375.285345446995,55557.758428119465,0,0,53359.6015625
2017-01-16,52628.310678490176,55797.814264587185,55903.44964970382,0,0,51668.8984375
2017-01-23,52547.3331956904,56101.102614229574,56232.92016682383,0,0,53339.19921875
2017-01-30,51910.4722619077,56190.54315510026,56203.20924882612,0,0,51059.44921875
2017-02-06,51164.99858212573,56071.110410372414,56038.3521662791,0,1,51472.3515625
2017-02-13,50806.34169828943,55845.03599811935,55723.424107671235,0,0,50102.19921875
2017-02-20,50740.336498558776,55584.4025740038,55489.498235593965,0,0,51499.05078125
2017-02-27,51866.168371349704,55529.17865457081,55457.6383798056,0,0,52072.8515625
2017-03-06,51870.5094786436,55436.838108960554,55368.81220837352,0,0,52220.30078125
2017-03-13,54403.611062563985,55809.14383456718,55878.39666904725,1,0,55427.8515625
2017-03-20,57082.83347467336,56620.0598820221,56892.16978234558,0,0,59308.80078125
2017-03-27,59098.33043362574,57686.38596908143,58080.64923439863,0,0,60954.44921875
2017-04-03,60353.35723341443,58826.72222010876,59281.46600529943,0,0,61036.1484375
2017-04-10,60858.091139408294,59882.850940924145,60278.20525904507,0,0,60566.55078125
