Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,258.1925048828125,258.1925048828125,258.52333577473956,0,0,262.1700134277344
2015-10-12,260.84468507766724,258.71243850728064,259.2088209616326,0,0,264.04998779296875
2015-10-19,270.28578639030457,261.02018276780785,261.9709256425027,0,0,273.9100036621094
2015-10-26,296.5385192632675,268.1930527130899,271.378236869919,0,0,323.1700134277344
2015-11-02,332.0603965520859,281.4508067751959,286.3756399194078,0,0,338.2099914550781
2015-11-09,332.0877557694912,293.0738564825534,298.329888548035,0,0,343.42999267578125
2015-11-16,360.2345002144575,308.729477916507,314.6934612679897,0,0,365.0799865722656
2015-11-23,374.123875901103,325.0968163713543,331.60974894404393,0,0,376.8699951171875
2015-11-30,373.97331650182605,339.287592947847,345.039983008011,0,0,371.6600036621094
2015-12-07,353.0116635914892,347.43496018402544,351.1781225702686,0,0,342.4200134277344
2015-12-14,362.85238655190915,356.26751242556355,360.8548721591013,0,0,386.5
2015-12-21,387.0118198781274,368.4879125886476,372.61679562333785,0,0,379.5199890136719
2015-12-28,381.83466436411254,377.91136689691683,382.00275628746965,0,0,389.8399963378906
2016-01-04,380.8379597760504,385.6628439351143,388.82855807573594,0,0,377.6199951171875
2016-01-11,371.07772660738556,390.2036088099147,391.9223434672337,0,0,359.25
2016-01-18,347.2916766429262,389.1560862733667,389.1434749588869,0,1,332.1000061035156
2016-01-25,349.34084087731026,388.2565189175388,388.1564954269998,0,0,351.6400146484375
2016-02-01,324.50021702171944,382.22855899897854,380.6549149347232,0,0,318.95001220703125
2016-02-08,307.11146439642107,373.1672345183931,370.2458812536026,0,0,299.0199890136719
2016-02-15,311.8094858603199,365.7996642832749,362.7119144295878,0,0,304.3500061035156
2016-02-22,289.13536331437626,354.59371347621845,349.9914205388094,0,0,269.760009765625
2016-02-29,280.1279963124921,342.7268154281655,338.37530500461065,0,0,280.30999755859375
2016-03-07,283.6161817843283,332.7738742288831,328.7774915572195,0,0,282.95001220703125
2016-03-14,285.0596520570201,324.1485765098754,320.35827236762657,0,0,282.3800048828125
2016-03-21,307.5776337219915,320.8607206755645,319.9320933575438,0,0,339.54998779296875
2016-03-28,344.0326374603949,325.0296394825027,325.2215947585494,1,0,340.8900146484375
2016-04-04,330.9064352173021,326.0472099141481,325.70312149389287,0,1,321.32000732421875
2016-04-11,330.3825961181725,326.75651213341985,326.9314412396632,1,0,338.1000061035156
2016-04-18,339.57505183563654,329.1008895288165,329.1881671401879,0,0,334.6400146484375
2016-04-25,344.3243959205648,332.0133092701266,332.6672540390472,0,0,348.57000732421875
2016-05-02,388.18127229385584,343.0882609554648,345.6360901482347,0,0,399.989990234375
