Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,681.0875091552734,681.0875091552734,683.4266764322916,0,0,688.530029296875
2024-08-20,696.3103160858154,684.0717894833318,686.5528600492797,0,0,698.5399780273438
2024-08-21,695.4439077377319,686.5244801340266,688.7368157907365,0,0,697.1199951171875
2024-08-22,693.0032019615173,688.1914653706023,689.809208012366,0,0,688.9600219726562
2024-08-23,688.552229642868,688.7659408603756,689.7363194187658,0,0,686.72998046875
2024-08-26,687.003316283226,688.9440910712487,689.601965514949,0,0,688.4400024414062
2024-08-27,695.3394629359245,690.7104150534811,691.4151979755935,0,0,695.719970703125
2024-08-28,688.0503467023373,690.8091786074326,690.8383784445724,0,0,683.8400268554688
2024-08-29,692.2592374533415,691.6912728347337,691.6621314934308,0,1,692.47998046875
2024-08-30,695.6146021708846,693.0947830126835,693.2147009235894,1,0,701.3499755859375
2024-09-03,688.3704305104911,692.8763394974097,691.8637568545547,0,1,675.3200073242188
2024-09-04,679.9355356898159,690.9952160471533,689.8112161839715,0,0,679.6799926757812
2024-09-05,679.9555722577497,689.3120545455961,688.3366308632737,0,0,683.6199951171875
2024-09-06,674.0612440756522,686.6505207379736,684.9641431669285,0,0,665.77001953125
2024-09-09,677.1937423076015,684.9051546528278,683.2834212649086,0,0,675.4199829101562
2024-09-10,674.0421893758466,682.7424413514772,681.0857006231425,0,0,673.6199951171875
2024-09-11,673.7638887247886,680.7824708484954,679.5019017857566,0,0,681.469970703125
2024-09-12,686.2226518473472,681.5051330851688,680.6488249574737,0,0,686.7999877929688
2024-09-13,688.5272310694418,682.6012847262309,682.5133266763821,0,0,697.0599975585938
2024-09-16,694.9629964093547,684.8331212495737,684.9148149774943,1,0,696.5
2024-09-17,701.414862559257,688.0625250951774,688.6515565921428,0,0,706.9099731445312
2024-09-18,697.946988802656,690.2165871608569,690.1784773697468,0,1,690.469970703125
2024-09-19,704.395987382285,693.3592660293665,693.4248858176932,1,0,704.3200073242188
2024-09-20,701.8245558096728,695.5956637514547,695.5199652097913,0,1,701.030029296875
2024-09-23,704.8907096064966,698.1309887970882,698.1684229427404,1,0,705.3699951171875
2024-09-24,712.3719276029309,701.7879289755472,702.5776844474848,0,0,722.260009765625
2024-09-25,718.9294227201185,706.2419952638928,707.3089099442868,0,0,721.5599975585938
2024-09-26,714.5159402747562,709.2348133660081,709.8118592948376,0,0,711.4299926757812
2024-09-27,707.5959459205081,710.4387368530679,710.6937818786243,0,0,707.3499755859375
2024-09-30,707.7366548990113,711.4465668796123,711.6533551237577,0,0,709.27001953125
2024-10-01,708.641461681073,712.4298107397678,712.3657484198508,0,1,706.1300048828125
2024-10-02,709.9469858759369,713.4686910174015,713.5346709222438,1,0,711.0900268554688
2024-10-03,705.2350495633347,713.3756420869222,713.4125643960198,0,0,706.7999877929688
2024-10-04,714.2450329451194,714.9766444928715,715.441013541959,0,0,719.7000122070312
2024-10-07,707.2250116660412,714.9263969014174,714.8385612960182,0,1,701.9199829101562
2024-10-08,713.4062527812628,716.0099556533419,716.5878500092041,1,0,721.760009765625
2024-10-09,721.778139988294,718.5218658789248,719.6487440415203,0,0,727.4299926757812
2024-10-10,726.5771765310124,721.5873137062177,723.024167266448,0,0,730.2899780273438
2024-10-11,727.8888181348283,724.4495957381048,725.4670727199978,0,0,722.7899780273438
2024-10-14,719.8019110510568,725.2832345182286,725.6147744226087,0,0,713.0
2024-10-15,709.477551157258,723.8887699507153,723.5643435245661,0,1,705.97998046875
