Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,14151.375,14151.375,14175.166666666666,0,0,14269.5
2015-10-12,14315.396759033203,14183.529839188974,14206.941496721323,0,0,14270.900390625
2015-10-19,14358.66242980957,14220.268841971152,14247.202190525757,0,0,14453.0
2015-10-26,14277.7017288208,14236.576032312163,14244.20023510541,0,0,14073.900390625
2015-11-02,13757.20877456665,14148.642141493423,14122.769517435807,0,1,13473.150390625
2015-11-09,12815.521379470825,13886.48232016891,13791.961042621015,0,0,12125.5498046875
2015-11-16,12807.356087684631,13654.521595548178,13585.836465417598,0,0,13165.150390625
2015-11-23,13041.85455751419,13497.5432045402,13444.074353902464,0,0,13229.099609375
2015-11-30,13001.49734711647,13353.328694640184,13299.929341160612,0,0,12998.0498046875
2015-12-07,12884.900162816048,13205.872233026394,13145.243178601346,0,0,12777.5498046875
2015-12-14,12887.814095079899,13079.429404024819,13030.136834763987,0,0,12951.0
2015-12-21,12938.788242608309,12981.308686528637,12938.750905622639,0,0,12968.7001953125
2015-12-28,13296.239488735795,12968.512043796629,12953.395034406763,0,0,13510.349609375
2016-01-04,13428.797905988991,12986.85858253872,12975.677727740123,0,0,13311.25
2016-01-11,13000.056515250355,12922.494467826948,12885.85584137979,0,0,12645.349609375
2016-01-18,12487.5594771076,12768.87941360805,12717.809086805826,0,0,12310.650390625
2016-01-25,12299.14546121005,12600.494617460074,12535.011134505421,0,0,12103.25
2016-02-01,12122.393165175337,12421.83805084769,12341.031883044485,0,0,11799.5
2016-02-08,11170.597949775169,12082.674997074619,11930.893437181694,0,0,10261.25
2016-02-15,10572.013721259544,11672.186566812316,11501.088153563069,0,0,10260.7001953125
2016-02-22,10361.681878940319,11276.134497519712,11094.98846992823,0,0,10009.4501953125
2016-02-29,10207.527327034884,10904.998239347993,10753.415379589604,0,0,10451.599609375
2016-03-07,10925.640128361192,10727.896304005995,10639.486826900911,0,0,11367.0
2016-03-14,11381.985713594659,10671.020268026863,10628.716631144955,0,0,11725.2001953125
2016-03-21,11215.002103623501,10597.95578290565,10563.46833901588,0,0,11366.0498046875
2016-03-28,11593.187056450422,10617.483367916864,10631.722614794664,1,0,12143.25
2016-04-04,12377.227705864483,10797.936149506435,10861.292623344047,0,0,12811.900390625
2016-04-11,12763.965262844351,11041.599547486267,11139.926723860715,0,0,12899.7001953125
2016-04-18,13062.774824011869,11322.71932887347,11420.33661725364,0,0,12868.5
2016-04-25,12805.123251849684,11526.614309267996,11601.683708096489,0,0,12564.0498046875
2016-05-02,12841.121104684607,11719.05312768765,11804.179040334508,0,0,13068.400390625
2016-05-09,12996.101232273944,11923.868078910906,12000.305911098041,0,0,12918.099609375
2016-05-16,13057.560198656503,12120.397273612509,12194.932686430931,0,0,13047.900390625
2016-05-23,13065.373879845829,12298.274715382682,12384.395866295223,0,0,13472.25
2016-05-30,13869.333230431766,12615.02799470617,12728.890018583006,0,0,14105.7001953125
2016-06-06,13851.582392080598,12892.003601869468,12987.78327358208,0,0,13687.7001953125
2016-06-13,13609.077206782487,13088.783864486546,13175.888222704418,0,0,13705.2001953125
2016-06-20,13469.918181027962,13234.328448846489,13308.281606484885,0,0,13584.7998046875
2016-06-27,13815.942061705387,13429.231220558855,13517.740389909635,0,0,14059.7998046875
2016-07-04,13682.589622161287,13572.987842693552,13627.27815103393,0,0,13345.349609375
2016-07-11,13404.719920943924,13642.771858065938,13685.915054425772,0,0,13446.25
2016-07-18,13512.15198317704,13722.576762810784,13767.237219508293,0,0,13621.75
2016-07-25,13845.416628795552,13855.2121765115,13928.456106888225,0,0,14342.2001953125
2016-08-01,14166.580354192698,14031.629251126024,14088.593825931637,0,0,13899.400390625
2016-08-08,14252.783859957677,14200.02007007372,14250.370749208627,0,0,14083.650390625
2016-08-15,14180.81850468587,14329.777941946375,14383.493196560463,0,0,14329.849609375
2016-08-22,14474.792064842935,14496.794804985333,14566.550529609902,0,0,14763.7001953125
2016-08-29,14867.528905956624,14715.529999508086,14806.848932306488,0,0,15235.349609375
2016-09-05,14968.584673925578,14922.03603131145,14993.819071432701,0,0,14773.2998046875
2016-09-12,14784.375131152243,15061.21755350951,15125.003422687238,0,0,14875.349609375
2016-09-19,15030.511112939403,15225.005277283064,15284.19762915285,0,0,14987.349609375
2016-09-26,14878.07116926267,15331.92638813283,15387.88059544952,0,0,15117.650390625
2016-10-03,15471.12927359618,15534.599254734694,15595.140021189087,0,0,15382.4501953125
2016-10-10,15579.101319494617,15726.102541913287,15790.316386865596,0,0,15599.75
2016-10-17,16010.34733609924,15970.638285167439,16068.710594572254,0,0,16520.80078125
2016-10-24,16594.895439289852,16291.359092371025,16388.843029861466,0,0,16452.849609375
2016-10-31,16102.383663248442,16467.25053446354,16525.793450199555,0,0,15778.900390625
2016-11-07,15102.901243245315,16415.614952039927,16382.657400032895,0,1,14177.900390625
2016-11-14,13718.726316487502,16088.256877512591,15956.404700150568,0,0,13048.75
2016-11-21,13146.911498087502,15678.264667573241,15478.62664772372,0,0,12537.900390625
2016-11-28,13048.967788462305,15289.879888476884,15100.832358228268,0,0,12971.5498046875
2016-12-05,13419.160468938184,15013.838142064475,14867.421346753665,0,0,13684.650390625
2016-12-12,13690.280124605812,14818.581535132224,14707.691892084127,0,0,13928.150390625
2016-12-19,13771.69011113103,14658.208886015347,14549.691033380013,0,0,13565.75
