Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,329.2624969482422,329.2624969482422,329.6999918619792,0,0,333.04998779296875
2015-10-12,341.1476516723633,331.5924636620648,332.40044479747473,0,0,344.375
2015-10-19,338.3808526992798,333.09760045076683,333.4029155878283,0,0,332.0
2015-10-26,330.80371046066284,332.9271184394012,332.4909253875072,0,1,322.6499938964844
2015-11-02,330.1487338542938,332.6363050338203,332.1233447052542,0,0,329.2749938964844
2015-11-09,325.2798351049423,331.4144847544136,330.81128450721235,0,0,326.4750061035156
2015-11-16,329.39851301908493,331.137662121175,330.79441931184726,0,0,331.0
2015-11-23,334.3766046464443,331.8640753475765,331.96766881435957,1,0,339.75
2015-11-30,333.915644928813,332.4069248276627,332.3016619664031,0,1,331.57501220703125
2015-12-07,339.14297737926245,333.9013179055334,333.76975871767,0,0,335.25
2015-12-14,332.7246115915477,333.94727441352944,333.6572501269542,0,0,332.1499938964844
2015-12-21,330.07949653826654,333.45533233467967,332.771829626273,0,0,325.2250061035156
2015-12-28,325.2232476826757,332.0574025536694,331.1768091568007,0,0,324.54998779296875
2016-01-04,319.6796360402368,329.7305279926574,328.4206895559942,0,0,314.875
2016-01-11,313.8874788477551,326.5435406091483,324.9356370474857,0,0,308.82501220703125
2016-01-18,303.28122236276977,321.6648903230177,319.35388740535706,0,0,294.3500061035156
2016-01-25,318.1585857916507,320.3060883718472,319.12107356562575,0,0,331.45001220703125
2016-02-01,327.23944819215103,320.92017808897026,319.76467850559095,0,0,320.6499938964844
2016-02-08,310.0681646478333,318.1255364570438,315.79068545411803,0,0,292.92498779296875
2016-02-15,313.56455221832584,316.38437105949504,315.06495375568926,0,0,325.625
2016-02-22,318.1775846037308,315.7965912605022,314.237876760347,0,0,310.07501220703125
2016-02-29,305.3692679183205,312.8120991788764,310.9249324074108,0,0,302.875
2016-03-07,304.00807451091805,309.96653187926034,307.99399494785735,0,0,299.70001220703125
