Date,haC,YASIN,YASIN1,Buy,Sell,Close
2015-10-05,12560.5751953125,12560.5751953125,12515.783528645834,0,0,12480.75
2015-10-12,12191.27490234375,12488.177535374936,12421.537195121038,0,0,11820.0498046875
2015-10-19,12502.987487792969,12485.663703581244,12450.925012593128,0,0,12642.2001953125
2015-10-26,12455.365661621094,12474.359621248175,12432.285269480002,0,0,12272.0498046875
2015-11-02,12303.606231689453,12434.918969075583,12384.028888773977,0,0,12000.0
2015-11-09,11762.646835327148,12294.485845057256,12214.874096955371,0,0,11282.2998046875
2015-11-16,11142.912460327148,12049.984053080989,11947.778897718566,0,0,10898.2998046875
2015-11-23,11155.976573944092,11838.540336342403,11751.797957906612,0,0,11249.2001953125
2015-11-30,11209.727392196655,11664.918314876353,11584.459670608883,0,0,11145.099609375
2015-12-07,10878.407458305359,11449.711480680897,11358.492466685957,0,0,10707.650390625
2015-12-14,11019.064691066742,11291.013422554546,11215.329045493067,0,0,10975.400390625
2015-12-21,10944.829128980637,11140.499055044096,11074.857082574024,0,0,10926.2001953125
2015-12-28,11248.444227576256,11071.69898571393,11036.301128713008,0,0,11383.5498046875
2016-01-04,11204.803565204144,11007.04200649292,10979.591712158308,0,0,11152.900390625
2016-01-11,10448.87056311965,10806.514951506184,10729.69119991104,0,0,9801.400390625
2016-01-18,9947.361102670431,10536.572176835301,10447.327043684254,0,0,9923.150390625
2016-01-25,10249.148228548467,10363.66080604378,10309.159835864057,0,0,10549.75
2016-02-01,10387.70537037775,10244.790627838047,10198.514253187832,0,0,10384.0498046875
2016-02-08,10377.75576136075,10144.726766653523,10112.442965169583,0,0,10491.5498046875
2016-02-15,10564.210735904984,10099.929429137857,10085.246976003733,0,0,10653.900390625
2016-02-22,10549.649069124367,10064.457477224614,10045.368587596431,0,0,10339.349609375
2016-02-29,10618.099375870777,10053.42830131001,10070.285863492429,1,0,11055.849609375
2016-03-07,11131.784062935389,10151.102530553075,10190.4628892908,0,0,11258.849609375
2016-03-14,11857.965273655194,10385.817322697278,10480.051108381938,0,0,12262.7998046875
2016-03-21,12364.612368381757,10697.417336133609,10815.599058186488,0,0,12497.9501953125
2016-03-28,12289.644379326885,10961.607774284961,11069.666048390773,0,0,12252.4501953125
2016-04-04,12235.093979214224,11186.9438755238,11286.952611137702,0,0,12231.099609375
2016-04-11,12492.382896589534,11438.254503798116,11552.978381359553,0,0,12756.75
2016-04-18,12816.336021589534,11724.595097027688,11835.895660716655,0,0,12721.599609375
2016-04-25,12647.27695278508,11944.135335774266,12045.476305024082,0,0,12693.900390625
2016-05-02,12533.72441389254,12114.822741878997,12205.396030247799,0,0,12620.2001953125
