Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,149.9025001525879,149.9025001525879,149.9566650390625,0,0,150.50999450683594
2024-08-20,150.4246859550476,150.00486950043447,150.04880411719083,0,0,150.0800018310547
2024-08-21,151.7909369468689,150.36267012656836,150.4944092496022,0,0,152.7100067138672
2024-08-22,151.79054629802704,150.67668292209143,150.7334360421382,0,0,150.69000244140625
2024-08-23,152.0737151503563,151.00662159838473,151.12533197630364,0,0,153.0800018310547
2024-08-26,153.01904293894768,151.4793530181269,151.58350049429106,0,0,152.5399932861328
2024-08-27,152.03077553212643,151.69746331572765,151.76670007724363,0,0,151.8699951171875
2024-08-28,151.97976135462523,151.8740609980861,151.88652188937874,0,0,151.24000549316406
2024-08-29,152.15144312009215,152.05722145963753,152.03510498069986,0,1,151.49000549316406
2024-08-30,152.8100951295346,152.34115530350937,152.37598088852027,1,0,153.60000610351562
2024-09-03,150.57192245032638,152.14528548316957,151.9967695945159,0,1,148.39999389648438
2024-09-04,148.36316981818527,151.5327492833068,151.2628027908104,0,0,147.67999267578125
2024-09-05,147.49189813388512,150.81707993106448,150.48317312580338,0,0,147.07000732421875
2024-09-06,145.80703367653769,149.8534824344727,149.36018187201245,0,0,143.3800048828125
2024-09-09,145.06602008076152,148.859543450006,148.3707377868948,0,0,144.82000732421875
2024-09-10,144.63769630060415,147.90351677063722,147.41486558635347,0,0,144.0
2024-09-11,143.15666343503108,146.77774286654542,146.34406905608674,0,0,144.24000549316406
2024-09-12,143.56082845594938,145.8754841211592,145.51319177090593,0,0,144.1199951171875
2024-09-13,145.14228690100936,145.40405168579557,145.15923270127195,0,0,145.83999633789062
2024-09-16,145.57864457584037,145.08952023750095,144.9086550474884,0,0,145.8800048828125
2024-09-17,147.38869944322414,145.18345399935927,145.11311564202043,0,0,147.77999877929688
2024-09-18,147.17622514122877,145.24056862894403,145.1174099765728,0,0,145.9199981689453
2024-09-19,149.0162224327937,145.6670337667325,145.6348163077996,0,0,149.3800048828125
2024-09-20,147.87436663000324,145.83298120309627,145.81076704119658,0,0,148.11000061035156
2024-09-23,148.30499261065592,146.07649655162982,146.08057391209198,1,0,148.49000549316406
2024-09-24,148.83874842248494,146.40752632969438,146.42933775382684,0,0,148.77999877929688
2024-09-25,147.07437108319073,146.36381941316364,146.27776043249548,0,1,145.77999877929688
2024-09-26,148.55843769689932,146.62623246946262,146.64105910150226,1,0,149.5800018310547
2024-09-27,150.20234459231563,147.18887113954491,147.3041444711368,0,0,151.22000122070312
2024-09-30,150.3080485740814,147.71264971615685,147.85997996696943,0,0,150.99000549316406
2024-10-01,148.98871104317473,147.92078876676572,147.9374794719866,0,0,147.4600067138672
2024-10-02,147.72060664692304,147.85963688239616,147.79318235045747,0,1,146.60000610351562
2024-10-03,145.9318559984245,147.4589011715372,147.28691326043045,0,0,144.67999267578125
2024-10-04,145.49327655682657,147.02447686232526,146.82685169945537,0,0,145.4499969482422
2024-10-07,144.66515060315226,146.48525346894525,146.28083391959544,0,0,144.5800018310547
2024-10-08,145.10472415896677,146.10371336609757,145.985383132377,0,0,145.99000549316406
2024-10-09,146.75235950456272,146.09915133468837,146.08422822812065,0,0,147.42999267578125
2024-10-10,146.90399271004503,146.13361536351698,146.1329863256138,0,0,146.38999938964844
2024-10-11,146.77011921879205,146.14614500893788,146.20703545784235,1,0,147.50999450683594
2024-10-14,147.39506317613797,146.28777002473217,146.41984473847322,0,0,148.30999755859375
2024-10-15,147.54877937554457,146.45015220032624,146.50118505189485,0,0,146.2899932861328
