Date,haC,YASIN,YASIN1,Buy,Sell,Close
2024-08-19,340.0350036621094,340.0350036621094,340.07000732421875,0,0,340.260009765625
2024-08-20,339.0828056335449,339.8483346819386,339.6877267700824,0,1,336.1600036621094
2024-08-21,336.92765712738037,339.2617972518347,339.08124999604195,0,0,337.3399963378906
2024-08-22,339.39257764816284,339.2302009888269,338.93314356558113,0,0,336.0899963378906
2024-08-23,340.0400426387787,339.33192272538486,339.2368886436287,0,0,342.4200134277344
2024-08-26,340.0212677717209,339.42024370001013,339.1278349947576,0,0,336.5899963378906
2024-08-27,336.19314658641815,338.74960851398635,338.4183765497912,0,0,336.7699890136719
2024-08-28,340.282036036253,338.963721214195,338.774092733382,0,0,340.94000244140625
2024-08-29,343.5994568914175,339.8062847753918,339.81200074200194,1,0,344.7099914550781
2024-08-30,344.04191689938307,340.63671037776015,340.7920284580655,0,0,346.3500061035156
2024-09-03,342.5100178979337,341.0665358274614,341.05437494184935,0,1,339.75
2024-09-04,336.3256333004683,340.2294648052518,339.78946364838566,0,0,331.55999755859375
2024-09-05,331.60125852935016,338.5638938023132,337.87819096408003,0,0,331.30999755859375
2024-09-06,331.4053109320812,337.06085713415456,336.2572592170401,0,0,328.8399963378906
2024-09-09,332.21047750278376,335.902465242471,335.17946017760454,0,0,332.1000061035156
2024-09-10,328.9186752595706,334.2486692610302,333.4484668783897,0,0,328.1600036621094
2024-09-11,325.78054697893094,332.19329099696085,331.3722207430848,0,0,326.7300109863281
2024-09-12,322.531539160962,329.76848182282487,328.8300430950167,0,0,322.0799865722656
2024-09-13,325.14952240335697,328.17561613790906,327.43683575343937,0,0,325.8599853515625
2024-09-16,328.08631496602175,327.3838601429585,326.8409459833314,0,0,328.6499938964844
2024-09-17,328.3150271424347,326.76978494072006,326.3379186686462,0,0,328.9700012207031
2024-09-18,332.61094565434723,327.1109766726453,326.95462967430467,0,0,333.3699951171875
2024-09-19,338.084704351857,328.52368275255725,328.6737014596809,1,0,338.45001220703125
2024-09-20,333.55476259003945,328.91480367422963,329.1556282069877,0,0,336.55999755859375
2024-09-23,337.21269738083515,330.0076875409625,330.4015110230979,0,0,339.7099914550781
2024-09-24,343.8089441001955,332.2911554625558,332.87894439879483,0,0,343.8399963378906
2024-09-25,341.04348119945683,333.78117090758167,334.2295569292686,0,0,340.0
2024-09-26,348.2745558463105,336.5253004191965,337.52877325409236,0,0,355.67999267578125
2024-09-27,356.1614214621552,340.4945550073568,341.84072692963764,0,0,357.3299865722656
2024-09-30,357.7335265498642,344.29288892468503,345.77921117655956,0,0,359.8900146484375
2024-10-01,356.5819755400539,347.3936005658053,348.7646094126468,0,0,358.3299865722656
2024-10-02,356.7363021773756,350.1246364867644,351.26082906061845,0,0,355.04998779296875
2024-10-03,354.7575220069617,352.10260976579616,353.06800935571,0,0,354.3999938964844
2024-10-04,354.6043889026508,353.76814049503105,354.42340012504786,0,0,352.510009765625
2024-10-07,349.4231392841205,354.167538311238,354.57802928909706,0,0,349.9200134277344
2024-10-08,358.1915729989938,356.1843181591062,356.68115294456004,0,0,358.9100036621094
2024-10-09,357.1452290651781,357.6980286461751,358.0936859603135,0,0,356.8299865722656
2024-10-10,354.2585485993615,358.40322357480443,358.600039360609,0,0,352.6400146484375
2024-10-11,356.431150367796,359.38591293288204,359.6775905697118,0,0,357.9700012207031
2024-10-14,356.63963695910553,360.22640943039414,360.51118697011685,0,0,357.25
2024-10-15,360.08325861169385,361.5743005987833,361.92743133953945,0,0,360.0
